blue_win,blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueChampKills,blueHeraldKills,blueTowersDestroyed,redChampKills,redHeraldKills,redTowersDestroyed
0,24651,374,97,9.2,29061,358,87,9.6,7,1,1,14,2,0
0,24922,328,88,9.4,25526,382,101,9.2,10,1,1,7,2,0
1,34053,264,96,9.4,29910,276,64,8.6,25,1,1,19,2,4
0,25659,332,77,8.6,30299,341,78,9.6,8,1,2,17,2,0
1,28032,321,100,9.6,24666,323,72,8.4,14,2,1,9,1,1
1,28557,300,80,9.2,25031,286,64,8.6,16,0,0,14,1,1
0,26539,312,66,9.6,25780,330,77,9.4,15,3,0,10,0,1
0,23122,283,53,8.6,31752,352,112,9.8,9,0,4,16,3,0
1,27559,368,95,9.8,22456,358,101,8.8,10,2,0,2,0,1
0,22629,317,101,9.2,26527,356,99,9.8,5,0,0,12,2,0
1,23397,308,77,8.8,27528,347,84,9.6,7,1,1,14,0,0
0,22428,326,94,8.8,24137,344,84,9.0,5,2,0,9,1,0
0,29221,329,76,9.0,27256,344,54,9.0,16,1,1,13,2,1
0,25773,338,88,9.2,28142,357,76,9.6,10,2,1,13,1,0
1,23320,358,90,9.4,22712,368,83,9.4,6,2,0,2,1,0
1,24272,342,77,9.0,25397,373,107,9.6,7,1,1,7,1,0
0,23132,354,76,8.8,24997,365,109,9.2,5,2,0,7,1,0
1,26622,366,62,8.6,25682,356,92,9.0,10,0,2,6,3,1
1,25090,327,92,8.6,26589,322,109,9.0,9,2,2,8,1,1
0,24557,294,92,8.8,28086,361,90,9.4,11,2,1,13,1,0
0,26906,373,105,9.6,25173,361,92,9.4,10,2,0,9,1,1
1,30499,314,92,9.4,23205,289,48,8.6,18,2,0,9,0,3
1,27829,304,112,9.8,27036,319,76,9.0,13,2,1,12,1,0
0,28522,298,73,9.0,29899,356,71,9.0,18,1,1,17,1,0
0,23096,320,72,8.6,31460,385,104,9.6,7,0,3,16,3,0
0,25688,350,80,9.0,27798,284,88,9.2,9,2,0,18,1,1
0,26465,288,71,8.6,32134,338,78,9.6,14,0,2,22,3,0
0,24917,298,99,9.0,27297,329,92,9.2,11,1,1,13,1,0
1,23282,316,72,8.4,26954,337,96,9.4,8,1,1,14,2,0
0,22438,299,80,9.2,29563,386,106,9.8,7,1,2,12,2,0
0,23129,341,91,8.8,23610,336,79,8.8,5,0,0,7,3,0
0,23743,361,84,9.2,25786,390,92,9.4,6,2,1,5,1,0
1,28628,323,74,9.6,22502,323,64,8.8,17,1,0,5,0,1
0,27103,358,76,9.4,26329,301,66,9.0,12,0,1,13,2,0
0,23535,330,82,9.0,29539,357,105,9.6,7,1,2,11,2,0
0,24640,336,88,9.0,30036,370,98,9.4,6,0,3,14,3,1
1,26865,373,69,9.2,28576,400,63,9.6,11,2,1,12,0,1
0,23343,339,87,9.0,26958,294,78,9.0,8,0,2,12,2,0
1,26130,371,76,9.6,25068,361,64,9.0,10,1,0,10,1,0
1,30732,369,84,9.2,28506,359,66,9.4,16,1,1,15,1,2
1,24219,361,73,9.0,26076,381,97,9.4,8,1,1,9,2,1
1,24952,336,74,9.0,25775,313,103,9.2,10,0,0,11,3,0
1,29631,371,71,9.8,23566,275,96,8.8,18,3,0,7,0,3
1,25357,327,84,8.8,26651,364,112,9.8,6,2,1,11,1,2
0,29203,345,80,9.8,29816,339,112,10.0,16,1,0,16,2,0
1,29063,335,77,9.6,23718,352,59,9.0,19,2,0,7,0,1
1,30301,320,76,9.2,26962,320,86,8.6,21,2,0,12,0,1
0,29112,353,96,9.4,25733,306,104,9.2,13,1,1,11,2,2
0,27311,322,108,9.2,26442,347,85,9.2,10,3,2,7,0,2
1,27777,353,72,9.6,25399,340,72,9.4,13,2,0,11,0,1
0,23445,356,80,8.8,30099,381,94,9.8,6,0,3,14,3,0
1,27540,316,72,9.2,28248,364,90,9.0,11,1,2,12,1,2
0,25836,391,88,9.6,29034,371,95,9.6,9,0,2,11,2,0
0,24661,381,63,8.4,25199,346,80,9.4,5,0,0,12,1,1
1,29325,351,102,9.2,23580,353,85,8.6,13,2,1,4,0,2
1,29487,327,124,9.8,23900,334,82,8.8,15,2,1,5,1,2
0,24409,346,68,9.0,27344,347,104,9.0,9,0,1,11,3,0
0,29481,360,92,9.6,20672,268,76,8.4,15,0,0,3,3,2
0,24266,318,80,8.8,31630,353,87,9.6,8,0,2,21,2,0
0,27807,322,75,8.8,26724,352,76,9.0,14,2,0,12,1,1
0,27861,334,115,9.6,25676,339,82,9.2,14,1,0,8,1,0
0,26821,394,72,9.2,28710,372,110,9.4,9,1,1,14,2,1
1,24709,356,63,9.2,22738,339,91,8.4,12,2,0,5,1,0
1,27021,398,111,9.6,24110,373,76,9.2,9,3,0,7,0,1
0,23157,374,68,8.6,30559,373,99,9.8,5,0,2,16,2,0
0,25030,328,112,9.0,28438,377,84,9.2,7,2,1,12,1,1
0,26570,299,71,9.0,26963,357,98,9.4,11,1,1,12,1,1
1,27131,379,100,9.6,23832,387,92,9.4,13,1,0,5,1,1
0,23397,345,91,9.0,31175,410,87,9.8,6,1,0,17,2,0
1,28116,395,96,9.8,27240,354,79,9.2,9,1,1,11,2,1
1,32788,311,76,9.2,25544,261,55,8.8,24,2,0,14,1,2
1,24956,392,80,9.4,25658,373,84,8.8,7,0,1,9,3,1
1,28245,369,92,9.6,24050,335,84,8.8,12,2,0,6,0,2
0,25039,307,67,8.4,32009,343,89,9.2,10,0,3,18,3,1
1,23055,331,79,8.6,29222,365,86,9.6,5,1,0,18,1,0
0,23323,347,59,9.0,25447,325,68,9.2,8,0,1,8,2,0
0,23249,282,71,8.8,28669,323,84,9.8,9,0,1,17,3,0
1,29169,375,91,9.8,19709,291,84,8.2,18,1,0,1,1,1
1,26588,323,76,8.8,27085,342,65,9.0,13,1,2,11,1,0
1,32498,378,103,9.8,20892,319,58,8.4,18,3,0,4,0,3
0,26720,331,74,9.0,27895,292,102,9.0,11,1,0,17,2,1
1,27491,339,76,9.4,27778,363,110,9.4,15,1,1,9,1,1
0,27372,334,76,9.2,23688,313,82,8.8,13,1,0,8,2,1
1,25209,377,100,9.0,24427,352,101,9.4,5,2,0,7,1,1
1,26384,342,63,9.0,25840,340,84,9.4,13,1,0,12,2,0
1,26447,358,101,9.8,23220,364,72,8.8,12,3,0,5,0,0
1,26688,372,68,9.2,23959,295,96,9.0,9,2,0,6,1,3
1,24131,371,62,8.8,25638,368,88,9.2,6,0,0,9,3,1
1,23975,360,85,9.2,27578,402,88,9.4,6,1,2,9,2,0
1,28272,370,78,9.2,23168,336,80,9.2,12,2,0,7,1,3
0,26076,342,66,9.0,27078,358,89,9.6,10,1,0,12,2,1
1,22464,332,81,8.6,25375,390,80,9.4,5,1,0,9,2,0
1,27042,347,85,9.6,25556,297,73,9.0,14,1,1,11,0,1
1,25340,351,114,9.2,22593,348,90,9.4,5,2,0,4,1,1
0,22630,244,67,8.2,32752,382,82,9.8,8,1,3,24,1,0
1,30612,325,104,9.6,24243,368,84,9.0,19,3,1,4,0,3
0,23006,334,69,8.6,30616,391,95,9.4,5,0,3,16,3,0
0,26826,350,102,9.4,29526,342,91,9.8,10,3,1,17,0,1
1,28364,340,81,9.4,27611,366,82,9.4,15,2,1,11,0,0
0,26317,312,87,8.8,27778,312,72,9.2,12,2,0,16,0,1
0,26082,359,100,9.0,26344,383,94,9.4,6,1,1,10,2,1
1,25408,384,76,9.2,24971,358,92,9.2,9,0,1,7,3,0
0,22451,313,103,9.0,28007,372,92,9.4,6,0,2,11,3,0
1,26081,409,81,9.0,23241,342,103,9.6,5,1,0,4,1,1
1,28939,320,99,9.6,26815,338,65,9.6,17,1,0,13,0,1
0,25502,302,64,9.0,28429,337,66,9.2,12,1,2,16,2,0
0,22504,308,80,8.8,27709,354,96,9.4,6,0,2,9,3,0
0,24097,342,96,8.8,29543,351,112,9.6,6,0,2,15,3,0
1,29734,386,99,9.8,22889,360,86,9.0,15,2,0,6,1,1
0,24438,348,69,8.6,29994,352,89,9.4,7,1,2,15,2,1
1,32393,402,107,9.6,24823,354,89,9.2,18,3,0,8,0,3
1,26565,377,86,9.4,22625,358,97,9.2,7,3,0,4,1,2
0,26088,355,66,9.2,26553,350,94,9.6,10,1,0,12,2,1
1,31049,389,102,9.8,22966,380,83,9.0,17,3,0,5,0,2
1,29333,333,86,9.6,26671,320,83,8.8,20,2,1,12,0,1
1,23803,343,84,8.8,24683,325,64,8.6,8,0,0,10,2,0
1,28351,367,99,9.6,25556,318,75,9.0,12,2,1,10,1,2
1,26069,334,72,9.4,27139,356,86,9.4,13,1,0,12,1,0
1,32257,361,120,9.8,18656,268,72,7.6,14,3,0,1,0,7
0,23582,354,83,8.8,28630,338,96,9.8,6,0,2,14,3,0
1,33787,376,85,9.6,24134,256,101,8.8,19,1,1,8,2,5
1,27095,355,76,9.0,26999,368,84,9.0,15,2,0,11,1,0
1,23077,343,88,9.0,23494,386,93,9.2,4,1,0,4,2,0
1,24017,340,110,9.2,25689,322,65,9.2,6,1,1,10,2,0
1,28088,364,81,9.6,22986,307,89,8.8,12,1,0,6,2,2
0,22505,277,88,8.8,33442,349,106,9.8,8,1,4,20,2,0
0,22982,277,88,8.8,31319,365,99,10.0,8,1,3,19,1,0
1,27773,306,76,9.4,30473,340,82,9.0,15,1,2,18,2,0
1,25506,312,67,9.2,24761,339,86,8.8,13,2,1,7,1,0
0,24907,268,65,8.4,30151,322,78,9.2,13,2,1,21,1,0
1,29610,325,96,9.2,24748,318,76,9.0,14,3,0,10,0,1
0,22363,351,61,8.8,28251,374,121,9.8,4,0,1,14,2,0
0,27782,324,62,8.8,30141,285,101,9.4,15,0,1,21,2,1
1,27785,356,96,9.6,25811,361,96,9.0,12,2,1,7,0,1
1,22941,358,85,9.0,25090,375,74,8.8,5,3,0,7,0,0
1,31949,384,86,10.0,19802,274,79,7.8,21,2,0,3,1,3
0,23302,336,65,9.0,27828,375,92,9.4,8,0,2,11,1,0
1,29200,285,82,9.0,32368,312,61,9.0,20,2,1,19,0,0
0,26737,373,101,9.4,25569,354,86,9.2,10,3,1,7,0,2
1,28531,331,92,9.0,24581,280,76,8.6,16,2,0,13,1,2
0,23451,309,73,8.4,27614,322,87,9.2,8,0,0,17,1,0
1,31111,403,72,9.2,25973,311,75,9.0,15,1,0,13,1,2
0,24433,356,56,9.2,27490,357,97,9.4,11,1,1,11,2,0
0,27644,314,78,9.0,24943,339,65,9.0,12,2,0,10,1,1
0,25835,358,92,9.4,28257,335,84,9.4,8,3,1,13,0,1
1,27282,345,91,9.2,24405,370,75,8.8,12,1,0,7,1,1
0,24250,379,75,9.2,25468,387,86,9.4,4,1,0,9,2,1
0,21276,188,81,7.4,32743,312,80,9.0,9,0,5,19,2,0
1,22223,365,81,8.8,24580,397,101,9.4,3,0,0,5,2,0
0,24938,327,89,9.4,27161,331,101,9.2,10,0,0,13,2,0
0,26353,327,76,9.2,27665,362,80,9.2,14,1,1,14,2,0
0,31867,345,100,9.4,25510,316,66,8.6,20,3,0,12,0,2
1,25550,307,85,9.2,25661,322,83,9.4,13,1,1,10,2,0
1,30470,340,94,9.8,27064,381,63,9.4,16,2,1,10,0,2
0,25871,368,91,8.8,30528,365,99,9.6,7,2,2,16,1,1
1,28272,376,82,9.6,26027,363,76,9.0,12,3,1,9,0,1
1,28652,397,104,9.6,25448,328,84,9.2,9,3,0,9,0,2
1,27848,361,79,9.2,23118,319,64,8.4,13,2,0,8,1,1
0,23810,297,72,8.8,29881,369,95,10.0,6,1,1,19,2,0
1,32951,384,120,9.8,21513,301,77,8.6,19,3,0,3,0,4
0,30100,292,81,9.0,32106,346,90,9.6,20,1,2,21,2,1
1,28326,298,108,9.2,27545,337,80,9.0,15,3,1,15,0,1
0,27235,357,78,9.0,30634,379,108,9.6,11,1,2,16,2,0
0,22398,284,88,8.4,28317,361,80,9.2,7,0,2,13,3,0
1,28543,392,55,9.4,24029,327,92,9.4,15,1,0,7,0,1
0,24605,273,98,8.8,31316,322,109,9.8,12,0,2,18,3,0
0,28479,358,93,9.2,30957,328,92,9.6,13,1,1,18,2,1
0,27130,313,82,9.0,26375,348,72,9.0,10,3,1,10,0,1
1,30884,354,92,9.6,26313,303,88,9.0,16,1,1,13,1,2
0,25933,314,87,8.6,26272,349,70,9.2,8,2,1,12,1,1
0,28826,375,92,10.0,25581,378,90,9.2,12,1,1,8,2,1
1,25273,325,82,9.2,25041,347,102,9.4,12,2,0,8,1,0
0,24365,340,72,9.2,29224,391,108,9.6,7,1,2,12,2,0
1,27163,280,74,9.4,25856,313,93,9.2,17,3,1,10,0,1
0,26913,378,96,9.2,25463,382,102,9.2,7,2,0,6,1,2
1,29231,407,115,9.8,23821,408,90,9.2,11,3,0,4,0,1
0,25507,300,64,9.2,26358,322,79,8.8,13,0,0,13,2,0
1,33768,368,84,10.2,25361,343,60,9.0,18,2,0,12,0,5
1,27565,326,69,9.0,29084,358,64,9.2,12,3,2,17,0,2
0,21695,349,74,8.6,29333,441,99,9.8,3,0,2,12,2,0
1,31885,379,75,9.6,23570,329,45,8.6,18,2,0,6,0,4
1,28040,347,89,9.4,26088,361,90,9.4,7,1,0,10,1,2
1,27575,343,97,9.2,22096,294,64,8.4,13,2,0,7,0,1
1,26458,341,109,9.6,25904,356,93,8.8,11,1,1,8,2,0
1,29707,379,116,9.8,23274,352,95,9.0,11,2,0,5,0,2
1,25692,369,73,9.4,27932,395,100,9.6,9,0,2,10,3,0
0,30316,357,103,9.6,25394,353,85,9.0,16,1,0,10,2,1
1,27378,314,81,9.0,22674,294,60,8.6,16,2,0,8,1,1
1,24108,369,109,9.2,22618,339,92,9.2,3,3,0,5,0,1
1,27148,321,86,9.6,24548,317,95,9.2,12,1,0,9,2,1
1,28961,301,63,8.8,29395,344,88,9.6,15,1,0,17,2,2
0,28262,368,71,9.2,28301,335,95,9.4,14,0,1,12,3,0
1,28497,384,75,9.4,24282,359,96,9.2,14,1,0,8,1,2
1,31313,384,95,9.8,21450,319,76,8.8,18,2,0,2,0,2
0,25683,386,108,9.4,28684,408,88,9.6,7,1,1,12,2,0
1,27670,339,80,9.2,24380,378,100,9.2,14,1,0,6,1,1
0,21505,254,61,8.4,32872,334,119,9.6,7,0,4,18,3,0
0,26151,358,105,9.6,26453,397,104,9.8,9,1,1,8,2,0
1,23596,251,87,9.2,26833,358,100,9.0,11,1,1,7,1,0
0,26581,326,72,9.4,27054,349,76,9.4,12,0,0,15,3,0
0,23946,335,62,9.0,31395,305,97,9.2,9,0,2,19,3,0
0,23483,335,82,9.2,25150,326,116,9.4,8,0,0,10,3,0
1,26827,388,77,9.2,23390,336,90,9.0,8,2,0,6,1,2
1,29813,338,84,9.4,25688,342,64,9.0,20,1,1,9,1,1
0,24394,354,62,8.8,27248,386,100,9.6,5,1,1,10,2,2
0,29554,376,71,9.4,22919,338,96,8.8,13,2,0,6,1,3
1,28051,313,91,9.2,27198,313,90,8.8,15,2,2,8,1,1
1,27772,353,114,10.0,23177,357,91,9.4,14,1,0,4,1,0
0,22067,353,83,8.8,28131,389,103,9.8,4,1,1,11,2,0
1,27042,308,81,9.2,24428,303,89,9.0,11,2,1,11,0,2
0,25623,364,58,9.0,27842,322,115,9.4,8,0,1,15,2,1
1,32641,419,81,9.8,23893,301,84,8.6,21,1,1,5,2,3
0,24411,340,79,8.8,26440,355,76,9.0,5,0,1,13,3,0
1,26362,358,70,8.6,29549,377,68,9.2,12,2,2,14,1,0
0,25482,292,55,8.6,28671,376,84,9.4,12,0,1,18,2,0
0,22091,338,87,9.0,29432,365,122,9.6,5,0,4,11,2,0
0,27335,389,85,9.2,26859,364,104,9.6,9,1,0,11,1,1
1,30507,363,132,9.6,22870,328,69,8.6,16,3,0,6,0,2
1,29128,322,72,9.2,25374,339,70,8.8,17,3,0,12,0,1
0,24206,329,83,9.0,30872,323,97,9.4,7,0,4,16,3,0
0,21710,393,89,9.2,26583,408,90,9.6,1,0,1,8,3,0
0,25357,335,83,8.8,28157,304,80,9.4,8,2,1,16,1,2
1,24253,353,88,9.4,23184,384,88,9.2,8,1,0,5,2,0
0,26266,394,96,9.2,24083,334,112,9.2,6,2,0,7,1,1
0,26249,334,75,9.0,27857,379,93,9.8,12,2,0,13,1,1
1,25440,334,75,9.2,28287,356,103,9.4,10,2,0,13,1,0
0,28375,327,107,9.8,29133,341,82,10.0,16,1,1,16,1,1
1,29645,367,68,9.8,27543,344,75,9.6,14,3,1,13,0,3
1,28338,316,88,9.4,26567,330,74,9.2,15,2,2,12,1,1
1,26655,315,89,8.8,26264,316,76,9.0,11,3,0,15,0,1
1,30418,339,88,9.2,20377,261,74,7.4,12,3,0,5,0,7
0,23431,331,86,9.0,29860,394,89,9.8,8,0,1,16,1,0
0,22447,292,74,8.4,29970,375,96,9.6,7,1,3,14,2,0
0,30577,306,83,9.6,28217,335,79,9.4,20,3,1,13,0,1
0,25969,318,72,9.2,30122,352,84,9.6,11,1,3,16,1,1
0,23954,313,77,9.0,30270,361,99,10.0,8,1,1,18,2,0
1,28580,327,80,9.2,21238,345,84,8.8,11,3,0,2,0,3
1,29000,375,84,9.6,25251,390,95,9.4,14,2,0,5,1,1
0,28347,345,99,9.4,25883,335,88,9.0,14,1,0,13,1,1
1,26577,317,88,9.4,23197,316,76,8.8,11,2,0,6,1,1
0,26721,316,68,8.8,38781,349,112,10.0,10,0,3,30,3,0
1,25486,341,90,9.4,24706,300,102,9.2,10,0,1,7,3,0
1,28291,344,80,9.8,25283,323,84,9.2,17,1,0,10,1,1
0,23228,352,80,9.2,24992,302,112,9.6,6,0,0,8,2,0
0,27624,304,66,8.8,27169,334,92,9.0,16,1,0,14,2,1
0,26717,223,97,8.8,34126,298,87,9.4,15,0,3,25,3,0
1,27954,303,70,9.2,28509,324,75,9.4,20,2,1,17,0,0
0,20822,221,71,8.0,30849,346,89,9.6,6,0,2,20,3,0
1,27768,297,90,9.2,29345,298,84,9.4,13,1,1,19,2,1
0,26605,364,112,9.6,29881,340,84,9.4,8,0,2,16,3,1
0,26733,313,64,9.0,32869,339,83,9.6,10,1,3,23,2,1
1,25659,339,76,9.0,26277,330,71,9.0,10,2,1,11,2,0
0,23761,329,85,8.8,26790,282,86,9.2,8,3,1,13,0,1
1,30589,369,96,9.6,23057,293,79,8.6,17,1,0,7,1,0
0,23302,292,59,8.4,29902,298,71,9.0,9,1,2,18,1,0
1,26135,383,73,9.4,28588,333,85,9.6,11,1,1,14,2,0
0,28418,293,91,9.2,31385,338,65,9.4,17,3,1,21,0,1
0,23076,321,44,8.0,29002,347,97,9.2,8,0,1,15,3,0
1,31070,360,92,9.6,21813,295,83,8.6,16,1,0,6,1,3
0,24235,332,96,9.0,27000,349,83,9.4,6,2,1,13,0,1
1,29514,378,88,9.6,27610,329,79,9.4,11,1,0,17,2,3
1,30073,376,106,9.8,22795,275,78,8.6,15,2,0,5,1,1
0,26572,330,67,9.2,27353,360,87,9.2,12,1,1,12,1,0
1,27530,376,97,9.6,25923,409,81,9.2,10,2,1,6,1,1
1,29843,332,108,9.4,24028,332,88,9.0,15,3,0,8,0,2
1,32567,382,94,10.0,23104,331,49,8.6,17,3,0,7,0,4
0,24135,326,63,8.6,29611,355,99,9.8,8,0,2,14,3,1
0,23519,355,84,8.6,30220,395,117,10.2,6,0,2,12,3,0
0,25748,290,62,8.8,34443,330,86,9.6,12,0,4,21,4,0
1,25970,378,60,9.0,25864,325,81,9.0,10,1,1,9,2,1
0,28547,367,80,9.6,28504,380,112,9.6,11,0,0,16,2,0
0,22766,305,93,8.4,29659,388,66,9.8,7,0,2,14,1,0
1,26179,361,89,9.4,26289,328,70,9.6,9,3,0,13,0,1
1,29520,326,104,9.4,28595,328,99,9.4,17,1,0,18,2,2
0,24169,322,65,8.8,28530,337,95,10.0,9,2,0,17,1,0
0,21490,300,86,8.4,29189,381,93,9.8,5,1,2,13,1,0
0,22159,367,75,8.6,29805,409,116,10.0,2,0,2,14,3,0
0,22674,350,88,8.8,25584,367,94,9.6,4,2,0,10,1,0
0,24562,380,103,9.6,25317,387,95,9.4,3,0,1,7,2,1
0,26125,321,64,9.2,28709,379,84,9.2,14,0,0,15,2,1
1,25381,345,72,9.2,23284,261,116,8.6,11,1,1,5,2,1
1,28273,401,76,9.4,22700,344,88,9.2,11,2,0,5,0,2
0,24196,292,92,8.8,29684,325,89,9.8,9,0,1,19,3,1
0,25831,336,80,9.0,24514,366,78,9.4,7,2,1,5,0,2
0,26579,370,100,9.2,27731,362,68,9.6,10,2,1,14,0,1
1,30610,324,93,10.2,21912,306,87,8.4,25,2,0,4,0,2
0,26906,353,74,9.2,25368,368,97,9.2,10,2,1,7,1,1
1,30549,351,85,9.6,18245,255,70,7.6,20,1,0,1,0,6
